City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,wailua homesteads,22.0669,-159.378,27.44,71,100,6.69,US,1722819850
129,marianna,30.7744,-85.2269,24.02,91,75,3.6,US,1722820266
130,steinkjer,64.193,11.3851,12.52,92,100,0.69,NO,1722820267
131,rechytsa,52.3617,30.3916,18.86,82,48,2.91,BY,1722819775
132,utrik,11.2278,169.8474,28.54,80,39,6.51,MH,1722820269
133,cabo san lucas,22.8909,-109.9124,33.12,42,20,5.14,MX,1722820177
134,iskateley,67.6803,53.1512,6.19,74,89,6.33,RU,1722819764
135,maintirano,-18.0667,44.0167,19.22,83,5,2.31,MG,1722820273
136,qaqortoq,60.7167,-46.0333,6.61,80,0,2.74,GL,1722819676
137,puerto ayora,-0.7393,-90.3518,20.31,93,49,1.34,EC,1722819823
138,velikiy ustyug,60.7644,46.3106,13.86,99,100,1.73,RU,1722820276
139,nar'yan-mar,67.6713,53.087,6.16,74,94,6.35,RU,1722819853
140,arti,56.4234,58.5328,13.52,96,100,2.15,RU,1722820278
141,wagar,16.1525,36.2032,27.17,71,100,8.03,SD,1722820279
142,sao vicente,-23.9631,-46.3919,28.1,57,99,0.88,BR,1722820280
143,loikaw,19.6742,97.2094,20.94,99,100,1.12,MM,1722820092
144,bilibino,68.0546,166.4372,9.49,58,100,3.74,RU,1722819828
145,varazze,44.3595,8.5741,28.12,88,100,2.68,IT,1722820284
146,gazojak,41.1875,61.4036,27.61,24,8,5.3,TM,1722820285
147,vavuniya,8.7514,80.4971,24.06,96,29,1.64,LK,1722820287
148,goianapolis,-16.5106,-49.0239,23.6,48,0,2.91,BR,1722820288
149,codrington,-38.2667,141.9667,11.3,56,7,2.91,AU,1722820290
150,luganville,-15.5333,167.1667,24.05,58,20,6.27,VU,1722820291
151,upington,-28.4478,21.2561,4.89,79,2,2.93,ZA,1722820292
152,kingston,17.997,-76.7936,30.53,74,20,6.69,JM,1722819824
153,avarua,-21.2078,-159.775,25.03,69,20,3.6,CK,1722820294
154,boa vista,2.8197,-60.6733,25.99,89,75,2.57,BR,1722820295
155,barcelos,41.5388,-8.6151,18.71,87,0,0.7,PT,1722820297
156,victorica,-36.2151,-65.4359,13.73,45,6,8.85,AR,1722820298
157,roggiano gravina,39.6182,16.1597,20.37,65,5,0.84,IT,1722820299
158,lithgow,-33.4833,150.15,9.89,47,100,2.8,AU,1722820300
159,igarka,67.4667,86.5833,9.55,64,48,6.2,RU,1722820301
160,alenquer,-1.9417,-54.7383,25.7,56,7,1.89,BR,1722820302
161,cooma,-36.2333,149.1333,7.13,53,100,1.7,AU,1722820303
162,port isabel,26.0734,-97.2086,30.57,76,0,4.12,US,1722820304
163,fortuna,40.5982,-124.1573,17.18,91,100,3.6,US,1722820305
164,itaituba,-4.2761,-55.9836,24.74,47,1,0.78,BR,1722820306
165,carutapera,-1.195,-46.02,25.45,82,6,2.99,BR,1722820309
166,dudinka,69.4058,86.1778,10.22,56,0,9.22,RU,1722820310
167,severo-vostotchnyi bank,39.4112,49.2479,25.91,75,0,2.51,AZ,1722820311
168,feytiat,45.8091,1.3303,17.45,88,0,1.54,FR,1722820312
169,wynyard,-41.0,145.7167,11.22,85,92,0.89,AU,1722820313
170,viqueque,-8.8673,126.3658,26.39,66,37,3.07,TL,1722820314
171,alesund,62.4723,6.1549,15.18,93,100,1.54,NO,1722820316
172,olonkinbyen,70.9221,-8.7187,5.99,98,100,3.16,SJ,1722820317
173,yichang,30.7144,111.2847,32.34,60,46,1.11,CN,1722820318
174,choele choel,-39.2667,-65.6833,13.73,37,100,2.54,AR,1722820319
175,ust'-kulom,61.6864,53.6902,14.42,99,100,2.41,RU,1722820321
176,mil'kovo,55.6078,37.7956,15.91,72,0,2.61,RU,1722820322
177,college,64.8569,-147.8028,23.99,51,75,3.09,US,1722820323
178,uliastay,47.7417,96.8444,17.64,43,0,0.98,MN,1722820324
179,juan griego,11.0817,-63.9655,25.97,86,97,3.06,VE,1722820325
180,bathsheba,13.2167,-59.5167,27.33,84,100,9.58,BB,1722820326
181,birjand,32.8663,59.2211,24.34,21,0,2.97,IR,1722820327
182,sisimiut,66.9395,-53.6735,8.89,76,100,0.83,GL,1722820328
183,kapa'a,22.0752,-159.319,28.18,67,100,6.69,US,1722820329
184,ribeira grande,38.5167,-28.7,24.87,95,16,2.68,PT,1722819801
185,severo-yeniseyskiy,60.3725,93.0408,17.92,55,51,1.37,RU,1722820331
186,thinadhoo,0.5333,72.9333,28.39,74,100,4.01,MV,1722820332
187,egilsstadir,65.2653,-14.3948,10.95,82,75,8.75,IS,1722819805
188,malvan,16.0667,73.4667,26.34,88,100,5.81,IN,1722820335
189,bintulu,3.1667,113.0333,24.23,95,100,2.46,MY,1722820336
190,hengchun,22.0042,120.7439,29.41,75,5,4.94,TW,1722820337
191,miyako,39.6367,141.9525,27.05,83,83,2.26,JP,1722820338
192,waddan,29.1614,16.139,29.01,27,0,4.87,LY,1722819892
193,santa cruz,-17.8,-63.1667,25.86,59,0,4.4,BO,1722820247
